Stock,Region,Area,BY,S,R
SEAK N Outside,Southeast Alaska,North,1992,2035.33,5198.66
SEAK N Outside,Southeast Alaska,North,1993,2123.95,5243.23
SEAK N Outside,Southeast Alaska,North,1994,4209.6,6573.96
SEAK N Outside,Southeast Alaska,North,1995,3497.7,10516.84
SEAK N Outside,Southeast Alaska,North,1996,4760.42,13154.38
Situk R.,Yakutat,North,1962,210,242.74
Situk R.,Yakutat,North,1964,210,16.03
Situk R.,Yakutat,North,1965,90,267.54
Situk R.,Yakutat,North,1967,240,37.85
Situk R.,Yakutat,North,1969,34.5,30.18
Situk R.,Yakutat,North,1971,27.18,254.22
Situk R.,Yakutat,North,1972,30,63.68
Situk R.,Yakutat,North,1973,240,142.24
Situk R.,Yakutat,North,1974,60,45.97
Situk R.,Yakutat,North,1975,133.8,208.09
Situk R.,Yakutat,North,1976,38.08,373.41
Situk R.,Yakutat,North,1977,177.71,482.7
Situk R.,Yakutat,North,1978,360,294.3
Situk R.,Yakutat,North,1979,450,332.87
Situk R.,Yakutat,North,1980,250,47.05
Situk R.,Yakutat,North,1981,300,194.91
Situk R.,Yakutat,North,1982,40.3,127.15
Situk R.,Yakutat,North,1983,183.58,378.24
Situk R.,Yakutat,North,1984,113.16,261.18
Situk R.,Yakutat,North,1985,366,84.48
Situk R.,Yakutat,North,1986,255,97.47
Situk R.,Yakutat,North,1987,72,338.34
Situk R.,Yakutat,North,1988,78.75,553.51
Situk R.,Yakutat,North,1989,288.25,195.34
Situk R.,Yakutat,North,1990,525,25.65
Humpy Cr.,Yakutat,North,1972,4.89,6.04
Humpy Cr.,Yakutat,North,1973,3.97,109.21
Humpy Cr.,Yakutat,North,1974,6,33.19
Humpy Cr.,Yakutat,North,1975,39,75.1
Humpy Cr.,Yakutat,North,1976,14.02,30.5
Humpy Cr.,Yakutat,North,1977,36,155.24
Humpy Cr.,Yakutat,North,1978,15,126.11
Humpy Cr.,Yakutat,North,1979,45,304.13
Humpy Cr.,Yakutat,North,1980,30,27.42
Humpy Cr.,Yakutat,North,1981,210,101.37
Humpy Cr.,Yakutat,North,1982,26.1,48.61
Humpy Cr.,Yakutat,North,1983,90,227.28
Humpy Cr.,Yakutat,North,1984,48,31.26
Humpy Cr.,Yakutat,North,1985,225,6.12
Humpy Cr.,Yakutat,North,1986,30.7,126.58
Humpy Cr.,Yakutat,North,1987,6,65.63
Humpy Cr.,Yakutat,North,1988,30,42.97
Humpy Cr.,Yakutat,North,1989,60.6,24.21
Humpy Cr.,Yakutat,North,1990,41.4,15.33
Humpy Cr.,Yakutat,North,1991,24.15,39.17
Humpy Cr.,Yakutat,North,1992,13.5,33.29
PWS E D.,Prince William Sound,North,1967,255.24,1124.18
PWS E D.,Prince William Sound,North,1968,364.93,745.42
PWS E D.,Prince William Sound,North,1969,160.6,2327.41
PWS E D.,Prince William Sound,North,1970,387.09,344.47
PWS E D.,Prince William Sound,North,1971,352.8,636.49
PWS E D.,Prince William Sound,North,1972,344.47,256.88
PWS E D.,Prince William Sound,North,1973,309.04,1124.89
PWS E D.,Prince William Sound,North,1974,256.88,1853.02
PWS E D.,Prince William Sound,North,1975,412.56,2063.97
PWS E D.,Prince William Sound,North,1976,472.08,1795.2
PWS E D.,Prince William Sound,North,1977,390.93,5142.25
PWS E D.,Prince William Sound,North,1978,279.12,3676.09
PWS E D.,Prince William Sound,North,1979,642.22,5396.92
PWS E D.,Prince William Sound,North,1980,535.96,3532.67
PWS E D.,Prince William Sound,North,1981,599.34,2912.01
PWS E D.,Prince William Sound,North,1982,573.07,5734.77
PWS E D.,Prince William Sound,North,1983,481.95,7465.67
PWS E D.,Prince William Sound,North,1984,1209.74,2844.92
PWS E D.,Prince William Sound,North,1985,750.53,7479.12
PWS E D.,Prince William Sound,North,1986,356.38,843.69
PWS E D.,Prince William Sound,North,1987,514.57,3510.47
PWS E D.,Prince William Sound,North,1988,362.37,8414.02
PWS E D.,Prince William Sound,North,1989,359.37,3091.6
PWS E D.,Prince William Sound,North,1990,443.66,693.61
PWS E D.,Prince William Sound,North,1991,474.38,315.21
PWS E D.,Prince William Sound,North,1992,204.38,12169.56
PWS E D.,Prince William Sound,North,1993,315.21,4632.33
PWS E D.,Prince William Sound,North,1994,615.24,6643.3
PWS E D.,Prince William Sound,North,1995,396.7,4880.09
PWS E D.,Prince William Sound,North,1996,584.24,2608.76
Montague,Prince William Sound,North,1971,296.73,266.3
Montague,Prince William Sound,North,1972,33.14,11.75
Montague,Prince William Sound,North,1973,119.52,203.85
Montague,Prince William Sound,North,1974,11.75,13.79
Montague,Prince William Sound,North,1975,85.38,230.06
Montague,Prince William Sound,North,1976,13.79,56.69
Montague,Prince William Sound,North,1977,152.96,1566.81
Montague,Prince William Sound,North,1978,56.69,119.35
Montague,Prince William Sound,North,1979,219.4,534.3
Montague,Prince William Sound,North,1980,118.4,138.82
Montague,Prince William Sound,North,1981,255.42,388.44
Montague,Prince William Sound,North,1982,132.38,203.4
Montague,Prince William Sound,North,1983,230.2,1781.05
Montague,Prince William Sound,North,1984,191.81,44.68
Montague,Prince William Sound,North,1985,332.24,260.27
Montague,Prince William Sound,North,1986,44.68,67.99
Montague,Prince William Sound,North,1987,149.26,181.76
Montague,Prince William Sound,North,1988,67.99,124.23
Montague,Prince William Sound,North,1989,181.76,247.89
Montague,Prince William Sound,North,1990,113.57,47.16
Montague,Prince William Sound,North,1991,247.89,144.78
Montague,Prince William Sound,North,1992,47.16,60.08
Montague,Prince William Sound,North,1993,144.78,201.69
Montague,Prince William Sound,North,1994,60.08,92.97
Montague,Prince William Sound,North,1995,183.45,272.05
Montague,Prince William Sound,North,1996,92.97,591.8
PWS SE D.,Prince William Sound,North,1967,236.61,723.09
PWS SE D.,Prince William Sound,North,1968,179.12,231.1
PWS SE D.,Prince William Sound,North,1969,26.91,456.09
PWS SE D.,Prince William Sound,North,1970,140.66,79.06
PWS SE D.,Prince William Sound,North,1971,179.48,835.21
PWS SE D.,Prince William Sound,North,1972,79.06,94.65
PWS SE D.,Prince William Sound,North,1973,177.78,1070.13
PWS SE D.,Prince William Sound,North,1974,94.65,199.96
PWS SE D.,Prince William Sound,North,1975,194.67,1102.15
PWS SE D.,Prince William Sound,North,1976,117.59,380.73
PWS SE D.,Prince William Sound,North,1977,277.78,4889.56
PWS SE D.,Prince William Sound,North,1978,164.03,1579.07
PWS SE D.,Prince William Sound,North,1979,728.63,3581.14
PWS SE D.,Prince William Sound,North,1980,307.68,1229.98
PWS SE D.,Prince William Sound,North,1981,359.87,2083.69
PWS SE D.,Prince William Sound,North,1982,482.86,2037.6
PWS SE D.,Prince William Sound,North,1983,601.68,3379.07
PWS SE D.,Prince William Sound,North,1984,792.56,303.1
PWS SE D.,Prince William Sound,North,1985,645.51,1286.62
PWS SE D.,Prince William Sound,North,1986,155.83,154.32
PWS SE D.,Prince William Sound,North,1987,330.63,388.18
PWS SE D.,Prince William Sound,North,1988,152.54,316.42
PWS SE D.,Prince William Sound,North,1989,315,533.17
PWS SE D.,Prince William Sound,North,1990,304.09,95.07
PWS SE D.,Prince William Sound,North,1991,533.17,315.09
PWS SE D.,Prince William Sound,North,1992,95.07,196.38
PWS SE D.,Prince William Sound,North,1993,315.09,347.73
PWS SE D.,Prince William Sound,North,1994,196.38,330.29
PWS SE D.,Prince William Sound,North,1995,336.31,613.18
PWS SE D.,Prince William Sound,North,1996,330.29,549.49
Cook S D.,Cook Inlet,North,1960,50,390.8
Cook S D.,Cook Inlet,North,1961,52.6,74.6
Cook S D.,Cook Inlet,North,1962,156,223.8
Cook S D.,Cook Inlet,North,1963,49.7,97.8
Cook S D.,Cook Inlet,North,1964,94.5,213.8
Cook S D.,Cook Inlet,North,1965,59.5,105.7
Cook S D.,Cook Inlet,North,1966,140,151.5
Cook S D.,Cook Inlet,North,1967,82,100.8
Cook S D.,Cook Inlet,North,1968,102.3,218.6
Cook S D.,Cook Inlet,North,1969,69.4,117.7
Cook S D.,Cook Inlet,North,1970,94.8,25
Cook S D.,Cook Inlet,North,1971,89.3,129
Cook S D.,Cook Inlet,North,1972,22,75.2
Cook S D.,Cook Inlet,North,1973,58.4,817.5
Cook S D.,Cook Inlet,North,1974,33.9,69.5
Cook S D.,Cook Inlet,North,1975,127.5,261.1
Cook S D.,Cook Inlet,North,1976,59.3,133.5
Cook S D.,Cook Inlet,North,1977,142.3,818.9
Cook S D.,Cook Inlet,North,1978,77.4,330.9
Cook S D.,Cook Inlet,North,1979,276.4,608.3
Cook S D.,Cook Inlet,North,1980,170.1,209.8
Cook S D.,Cook Inlet,North,1981,196.1,192
Cook S D.,Cook Inlet,North,1982,99.2,173
Cook S D.,Cook Inlet,North,1983,136.5,188
Cook S D.,Cook Inlet,North,1984,109.3,223.7
Cook S D.,Cook Inlet,North,1985,166.1,41.5
Cook S D.,Cook Inlet,North,1986,95.4,62.4
Cook S D.,Cook Inlet,North,1987,38,230.8
Cook S D.,Cook Inlet,North,1988,46.2,78.5
Cook S D.,Cook Inlet,North,1989,138.3,76.7
Cook S D.,Cook Inlet,North,1990,74.9,36.9
Cook S D.,Cook Inlet,North,1991,76.4,94.8
Cook S D.,Cook Inlet,North,1992,35,51.5
Cook S D.,Cook Inlet,North,1993,92.2,179.9
Cook S D.,Cook Inlet,North,1994,46.1,37.9
Cook S D.,Cook Inlet,North,1995,147.8,287.3
Cook S D.,Cook Inlet,North,1996,33.8,69
Cook Outer D.,Cook Inlet,North,1960,208.2,1819
Cook Outer D.,Cook Inlet,North,1961,40,62.2
Cook Outer D.,Cook Inlet,North,1962,287,870.6
Cook Outer D.,Cook Inlet,North,1963,41,83.6
Cook Outer D.,Cook Inlet,North,1964,155.4,417
Cook Outer D.,Cook Inlet,North,1965,62.8,293.4
Cook Outer D.,Cook Inlet,North,1966,110,165.3
Cook Outer D.,Cook Inlet,North,1967,33.5,90.8
Cook Outer D.,Cook Inlet,North,1968,86.1,461.2
Cook Outer D.,Cook Inlet,North,1969,39.3,299.9
Cook Outer D.,Cook Inlet,North,1970,90.1,21.4
Cook Outer D.,Cook Inlet,North,1971,163.4,237.3
Cook Outer D.,Cook Inlet,North,1972,21.4,4.5
Cook Outer D.,Cook Inlet,North,1973,51.4,227.8
Cook Outer D.,Cook Inlet,North,1974,3.7,15.8
Cook Outer D.,Cook Inlet,North,1975,103.4,1287.1
Cook Outer D.,Cook Inlet,North,1976,15.8,128.5
Cook Outer D.,Cook Inlet,North,1977,219.2,2121.7
Cook Outer D.,Cook Inlet,North,1978,65.2,223.1
Cook Outer D.,Cook Inlet,North,1979,307.6,1419.3
Cook Outer D.,Cook Inlet,North,1980,86.6,109.2
Cook Outer D.,Cook Inlet,North,1981,203.2,260.3
Cook Outer D.,Cook Inlet,North,1982,52.6,186.9
Cook Outer D.,Cook Inlet,North,1983,115.7,596
Cook Outer D.,Cook Inlet,North,1984,102.3,390.4
Cook Outer D.,Cook Inlet,North,1985,128.6,29.9
Cook Outer D.,Cook Inlet,North,1986,86.4,56.2
Cook Outer D.,Cook Inlet,North,1987,26.9,145.6
Cook Outer D.,Cook Inlet,North,1988,50.3,318.3
Cook Outer D.,Cook Inlet,North,1989,135.9,530
Cook Outer D.,Cook Inlet,North,1990,127.1,61.3
Cook Outer D.,Cook Inlet,North,1991,183.7,265.5
Cook Outer D.,Cook Inlet,North,1992,61.2,73.6
Cook Outer D.,Cook Inlet,North,1993,180.8,286.8
Cook Outer D.,Cook Inlet,North,1994,72,164.4
Cook Outer D.,Cook Inlet,North,1995,130.5,371.1
Cook Outer D.,Cook Inlet,North,1996,164.4,369.6
Kamishak,Cook Inlet,North,1960,19.5,333.2
Kamishak,Cook Inlet,North,1962,30,33.5
Kamishak,Cook Inlet,North,1963,37,10.9
Kamishak,Cook Inlet,North,1964,20,33.9
Kamishak,Cook Inlet,North,1966,20,126.2
Kamishak,Cook Inlet,North,1967,0.5,5
Kamishak,Cook Inlet,North,1969,8,101.1
Kamishak,Cook Inlet,North,1970,42,5.7
Kamishak,Cook Inlet,North,1971,73,18.1
Kamishak,Cook Inlet,North,1972,5.7,0.8
Kamishak,Cook Inlet,North,1973,10.2,50
Kamishak,Cook Inlet,North,1974,0.8,15
Kamishak,Cook Inlet,North,1975,50,88.2
Kamishak,Cook Inlet,North,1976,15,34.2
Kamishak,Cook Inlet,North,1977,82,281.7
Kamishak,Cook Inlet,North,1978,34.1,508.1
Kamishak,Cook Inlet,North,1979,227,192.9
Kamishak,Cook Inlet,North,1980,407.5,124
Kamishak,Cook Inlet,North,1981,126.9,10.7
Kamishak,Cook Inlet,North,1982,90.5,262.5
Kamishak,Cook Inlet,North,1983,10.4,21.9
Kamishak,Cook Inlet,North,1984,128.8,1757.8
Kamishak,Cook Inlet,North,1985,21.9,164.5
Kamishak,Cook Inlet,North,1986,1337,118.9
Kamishak,Cook Inlet,North,1987,93.9,829.6
Kamishak,Cook Inlet,North,1988,64,23.5
Kamishak,Cook Inlet,North,1989,573,157.6
Kamishak,Cook Inlet,North,1990,22.8,13
Kamishak,Cook Inlet,North,1991,112.5,185.9
Kamishak,Cook Inlet,North,1992,11.1,10.4
Kamishak,Cook Inlet,North,1993,185.8,662.7
Kamishak,Cook Inlet,North,1994,10.4,32.8
Kamishak,Cook Inlet,North,1995,499.9,95.1
Kamishak,Cook Inlet,North,1996,32.8,166.8
Afognak,Kodiak,North,1980,481.19,1020.61
Afognak,Kodiak,North,1981,431.26,423.72
Afognak,Kodiak,North,1982,328.22,697.89
Afognak,Kodiak,North,1983,229.47,723.53
Afognak,Kodiak,North,1984,232.56,1229.15
Afognak,Kodiak,North,1985,422.61,575.75
Afognak,Kodiak,North,1986,368.49,3077.85
Afognak,Kodiak,North,1987,260.85,943.02
Afognak,Kodiak,North,1988,651.85,1217.39
Afognak,Kodiak,North,1989,943.02,912.98
Afognak,Kodiak,North,1990,206.39,843.14
Afognak,Kodiak,North,1991,310.98,3026.16
Afognak,Kodiak,North,1992,447.94,1157.38
Afognak,Kodiak,North,1993,407.76,4332.73
Afognak,Kodiak,North,1994,533.98,293.77
Afognak,Kodiak,North,1995,588.73,579.94
Afognak,Kodiak,North,1996,127.87,1671.74
Kodiak Wside,Kodiak,North,1980,4086.95,8739.94
Kodiak Wside,Kodiak,North,1981,680.66,2172.91
Kodiak Wside,Kodiak,North,1982,3461.81,11828.66
Kodiak Wside,Kodiak,North,1983,604.58,2260.82
Kodiak Wside,Kodiak,North,1984,2897.97,10255.65
Kodiak Wside,Kodiak,North,1985,581.26,1944.53
Kodiak Wside,Kodiak,North,1986,2090.57,8257.5
Kodiak Wside,Kodiak,North,1987,542.53,4298.63
Kodiak Wside,Kodiak,North,1988,1736.5,7581.56
Kodiak Wside,Kodiak,North,1989,4298.63,6212.85
Kodiak Wside,Kodiak,North,1990,4581.56,3308.87
Kodiak Wside,Kodiak,North,1991,1221.85,10248.89
Kodiak Wside,Kodiak,North,1992,1907.57,4889.56
Kodiak Wside,Kodiak,North,1993,1169.19,20891
Kodiak Wside,Kodiak,North,1994,1574.56,3648.34
Kodiak Wside,Kodiak,North,1995,2680,7327.85
Kodiak Wside,Kodiak,North,1996,1957.24,15361.07
Alitak,Kodiak,North,1980,517.91,986.6
Alitak,Kodiak,North,1981,625.21,1868.88
Alitak,Kodiak,North,1982,466.83,747.32
Alitak,Kodiak,North,1983,440.36,1856.54
Alitak,Kodiak,North,1984,313.52,1077.13
Alitak,Kodiak,North,1985,798.64,1393.69
Alitak,Kodiak,North,1986,349.07,646.4
Alitak,Kodiak,North,1987,476.79,2892.82
Alitak,Kodiak,North,1988,260.4,234.01
Alitak,Kodiak,North,1989,2710.82,2842.24
Alitak,Kodiak,North,1990,89.01,242.22
Alitak,Kodiak,North,1991,468.24,4415.16
Alitak,Kodiak,North,1992,183.12,1666.71
Alitak,Kodiak,North,1993,949.66,10856.35
Alitak,Kodiak,North,1994,545.91,1043.86
Alitak,Kodiak,North,1995,3796.35,1459
Alitak,Kodiak,North,1996,490.46,2987.2
Kodiak Eside-Nend,Kodiak,North,1980,839.9,1416.48
Kodiak Eside-Nend,Kodiak,North,1981,931.82,1750.62
Kodiak Eside-Nend,Kodiak,North,1982,588.9,979.99
Kodiak Eside-Nend,Kodiak,North,1983,652.09,1539.52
Kodiak Eside-Nend,Kodiak,North,1984,581.12,1309.34
Kodiak Eside-Nend,Kodiak,North,1985,971.07,1943.55
Kodiak Eside-Nend,Kodiak,North,1986,707.22,3730.7
Kodiak Eside-Nend,Kodiak,North,1987,679.85,2713.1
Kodiak Eside-Nend,Kodiak,North,1988,856.7,911.44
Kodiak Eside-Nend,Kodiak,North,1989,2713.1,7343.53
Kodiak Eside-Nend,Kodiak,North,1990,498.44,1117.44
Kodiak Eside-Nend,Kodiak,North,1991,1174.53,6718.96
Kodiak Eside-Nend,Kodiak,North,1992,557.94,1852.85
Kodiak Eside-Nend,Kodiak,North,1993,1305.56,11286.43
Kodiak Eside-Nend,Kodiak,North,1994,994.65,392.48
Kodiak Eside-Nend,Kodiak,North,1995,2665.43,2142.89
Kodiak Eside-Nend,Kodiak,North,1996,344.98,1398.93
Kodiak Mainland,Kodiak,North,1980,529.89,1106.38
Kodiak Mainland,Kodiak,North,1981,533,427.26
Kodiak Mainland,Kodiak,North,1982,524.5,839.52
Kodiak Mainland,Kodiak,North,1983,243.52,698.43
Kodiak Mainland,Kodiak,North,1984,494.78,1398.89
Kodiak Mainland,Kodiak,North,1985,437.38,756.6
Kodiak Mainland,Kodiak,North,1986,592.71,2649
Kodiak Mainland,Kodiak,North,1987,530.4,3977.02
Kodiak Mainland,Kodiak,North,1988,901,1525.51
Kodiak Mainland,Kodiak,North,1989,3977.02,2308
Kodiak Mainland,Kodiak,North,1990,649.51,608.66
Kodiak Mainland,Kodiak,North,1991,1142,1825.11
Kodiak Mainland,Kodiak,North,1992,419.06,538.73
Kodiak Mainland,Kodiak,North,1993,459.41,1463.73
Kodiak Mainland,Kodiak,North,1994,344.93,480.25
Kodiak Mainland,Kodiak,North,1995,767.73,1567.35
Kodiak Mainland,Kodiak,North,1996,430.45,1454.05
Chignik Bay,Chignik,North,1962,30,143.6
Chignik Bay,Chignik,North,1963,20.7,42.5
Chignik Bay,Chignik,North,1964,20,89.6
Chignik Bay,Chignik,North,1965,11,33.1
Chignik Bay,Chignik,North,1966,71.3,311.6
Chignik Bay,Chignik,North,1967,5.7,41.2
Chignik Bay,Chignik,North,1968,81.4,89.9
Chignik Bay,Chignik,North,1969,11.7,70.8
Chignik Bay,Chignik,North,1970,43.6,37.4
Chignik Bay,Chignik,North,1971,5.5,24.9
Chignik Bay,Chignik,North,1972,5.8,37.5
Chignik Bay,Chignik,North,1973,2.2,28.6
Chignik Bay,Chignik,North,1974,4,121.1
Chignik Bay,Chignik,North,1975,1.2,63.9
Chignik Bay,Chignik,North,1976,12.3,147.8
Chignik Bay,Chignik,North,1977,3,313.6
Chignik Bay,Chignik,North,1978,10.7,183.9
Chignik Bay,Chignik,North,1979,1.2,122.8
Chignik Bay,Chignik,North,1980,3,85.4
Chignik Bay,Chignik,North,1981,1.4,28.3
Chignik Bay,Chignik,North,1982,2.4,288.4
Chignik Bay,Chignik,North,1983,1,14.4
Chignik Bay,Chignik,North,1984,123.2,191.3
Chignik Bay,Chignik,North,1988,22.4,100.5
Chignik Bay,Chignik,North,1989,13.5,88.4
Chignik Bay,Chignik,North,1990,6,234
Chignik Bay,Chignik,North,1991,12.2,57.9
Chignik Bay,Chignik,North,1992,55.8,135.2
Chignik Bay,Chignik,North,1993,2,287.4
Chignik Bay,Chignik,North,1994,75.8,44.6
Chignik Bay,Chignik,North,1995,180.5,98.9
Chignik Central,Chignik,North,1962,83.9,203
Chignik Central,Chignik,North,1963,92.6,135.3
Chignik Central,Chignik,North,1964,131.1,80
Chignik Central,Chignik,North,1965,65.8,44.5
Chignik Central,Chignik,North,1966,62.6,111.5
Chignik Central,Chignik,North,1967,18.5,71
Chignik Central,Chignik,North,1968,66.1,88.6
Chignik Central,Chignik,North,1969,69.6,95.3
Chignik Central,Chignik,North,1970,60.7,3.9
Chignik Central,Chignik,North,1971,74.8,50.5
Chignik Central,Chignik,North,1972,3.1,31.9
Chignik Central,Chignik,North,1973,50.2,57.7
Chignik Central,Chignik,North,1974,9.8,82.6
Chignik Central,Chignik,North,1975,26.4,319.9
Chignik Central,Chignik,North,1976,66,162.4
Chignik Central,Chignik,North,1977,199.9,581.4
Chignik Central,Chignik,North,1978,101.2,208.1
Chignik Central,Chignik,North,1979,297,286.5
Chignik Central,Chignik,North,1980,99.4,106.7
Chignik Central,Chignik,North,1981,76.5,18.9
Chignik Central,Chignik,North,1982,26.1,141.3
Chignik Central,Chignik,North,1983,11,23.5
Chignik Central,Chignik,North,1984,94,166
Chignik Central,Chignik,North,1985,7.4,73.5
Chignik Central,Chignik,North,1986,121.9,534.8
Chignik Central,Chignik,North,1987,65.7,215
Chignik Central,Chignik,North,1988,216.4,365.6
Chignik Central,Chignik,North,1989,215,375.1
Chignik Central,Chignik,North,1990,131.9,429.5
Chignik Central,Chignik,North,1991,201.1,359.4
Chignik Central,Chignik,North,1992,223.8,278
Chignik Central,Chignik,North,1993,160.9,1185.2
Chignik Central,Chignik,North,1994,178.9,252.9
Chignik Central,Chignik,North,1995,715.5,1194.6
Chignik E,Chignik,North,1962,401.7,1857.2
Chignik E,Chignik,North,1963,126.2,90.5
Chignik E,Chignik,North,1964,605.7,688.4
Chignik E,Chignik,North,1965,64.8,78.7
Chignik E,Chignik,North,1966,302.2,913.7
Chignik E,Chignik,North,1967,56.1,47.7
Chignik E,Chignik,North,1968,390.3,470.6
Chignik E,Chignik,North,1969,46,52
Chignik E,Chignik,North,1970,201.7,28.8
Chignik E,Chignik,North,1971,23,15.3
Chignik E,Chignik,North,1972,15.9,76.8
Chignik E,Chignik,North,1973,12.8,23.5
Chignik E,Chignik,North,1974,76.2,257.6
Chignik E,Chignik,North,1975,23.5,76.2
Chignik E,Chignik,North,1976,228.8,396.1
Chignik E,Chignik,North,1977,76,486.7
Chignik E,Chignik,North,1978,309.3,898
Chignik E,Chignik,North,1979,194.3,328
Chignik E,Chignik,North,1980,425.5,390.6
Chignik E,Chignik,North,1981,154.7,54.1
Chignik E,Chignik,North,1982,301.5,544.2
Chignik E,Chignik,North,1983,46.3,218.7
Chignik E,Chignik,North,1984,486.5,630.3
Chignik E,Chignik,North,1985,212.1,217.7
Chignik E,Chignik,North,1986,580.7,2011.8
Chignik E,Chignik,North,1987,215.6,881
Chignik E,Chignik,North,1988,1005.4,852
Chignik E,Chignik,North,1989,881,153
Chignik E,Chignik,North,1990,811.4,1501.2
Chignik E,Chignik,North,1991,125,584
Chignik E,Chignik,North,1992,1318,876.3
Chignik E,Chignik,North,1993,524.7,1407.9
Chignik E,Chignik,North,1994,863.3,1066.8
Chignik E,Chignik,North,1995,1399.3,1360
Chignik W,Chignik,North,1962,242,277.9
Chignik W,Chignik,North,1963,305,497.6
Chignik W,Chignik,North,1964,165,352.5
Chignik W,Chignik,North,1965,152,131.5
Chignik W,Chignik,North,1966,179.3,446.9
Chignik W,Chignik,North,1967,104.4,907
Chignik W,Chignik,North,1968,151.3,644.7
Chignik W,Chignik,North,1969,422,554.2
Chignik W,Chignik,North,1970,202,23.5
Chignik W,Chignik,North,1971,268.8,62.4
Chignik W,Chignik,North,1972,8.6,90.8
Chignik W,Chignik,North,1973,62.4,149.1
Chignik W,Chignik,North,1974,77.4,250
Chignik W,Chignik,North,1975,141.7,734.5
Chignik W,Chignik,North,1976,114.2,752.7
Chignik W,Chignik,North,1977,355.5,929.6
Chignik W,Chignik,North,1978,333.4,356
Chignik W,Chignik,North,1979,185,682.9
Chignik W,Chignik,North,1980,139.5,648.3
Chignik W,Chignik,North,1981,249.3,200.3
Chignik W,Chignik,North,1982,45.9,361.8
Chignik W,Chignik,North,1983,36,148.1
Chignik W,Chignik,North,1984,188,244.6
Chignik W,Chignik,North,1985,67.5,226
Chignik W,Chignik,North,1986,43.8,1373.8
Chignik W,Chignik,North,1987,38.3,57.9
Chignik W,Chignik,North,1988,232.4,180.1
Chignik W,Chignik,North,1989,57.9,516.1
Chignik W,Chignik,North,1990,44.3,667.7
Chignik W,Chignik,North,1991,96.8,731.4
Chignik W,Chignik,North,1992,38.8,286.2
Chignik W,Chignik,North,1993,45.8,1346.4
Chignik W,Chignik,North,1994,111.6,321.7
Chignik W,Chignik,North,1995,554.7,425.2
Perryville,Chignik,North,1962,155.5,194.6
Perryville,Chignik,North,1963,162,726.8
Perryville,Chignik,North,1964,72,178.2
Perryville,Chignik,North,1965,82,160.5
Perryville,Chignik,North,1966,90,324.8
Perryville,Chignik,North,1967,155.3,1480.8
Perryville,Chignik,North,1968,128.7,444
Perryville,Chignik,North,1969,218.6,257.1
Perryville,Chignik,North,1970,72.6,19.8
Perryville,Chignik,North,1971,45,31.5
Perryville,Chignik,North,1972,7.8,60.2
Perryville,Chignik,North,1973,31.5,45.3
Perryville,Chignik,North,1974,60.2,194.5
Perryville,Chignik,North,1975,45.3,160
Perryville,Chignik,North,1976,89.3,438.3
Perryville,Chignik,North,1977,115.4,452.7
Perryville,Chignik,North,1978,157.5,189.4
Perryville,Chignik,North,1979,181.3,340.3
Perryville,Chignik,North,1980,74.8,31.7
Perryville,Chignik,North,1981,116,178.4
Perryville,Chignik,North,1982,13.4,110.6
Perryville,Chignik,North,1983,64.5,277.7
Perryville,Chignik,North,1984,109.8,341.8
Perryville,Chignik,North,1985,235.2,101
Perryville,Chignik,North,1986,180.5,592.5
Perryville,Chignik,North,1987,65.7,267.4
Perryville,Chignik,North,1988,181.3,133.8
Perryville,Chignik,North,1989,267.4,815.4
Perryville,Chignik,North,1990,88.4,548.6
Perryville,Chignik,North,1991,343.5,1097.5
Perryville,Chignik,North,1992,190.4,238.8
Perryville,Chignik,North,1993,448.4,1263.1
Perryville,Chignik,North,1994,153.9,454.2
Perryville,Chignik,North,1995,582.1,235.3
AKPen NW,Alaska Peninsula,North,1962,4,21.8
AKPen NW,Alaska Peninsula,North,1963,4.4,2.9
AKPen NW,Alaska Peninsula,North,1964,15,17.7
AKPen NW,Alaska Peninsula,North,1965,0.9,1
AKPen NW,Alaska Peninsula,North,1966,1.7,26.5
AKPen NW,Alaska Peninsula,North,1967,0.7,4.4
AKPen NW,Alaska Peninsula,North,1968,26.5,18.9
AKPen NW,Alaska Peninsula,North,1969,4.4,8.8
AKPen NW,Alaska Peninsula,North,1970,11.1,1.2
AKPen NW,Alaska Peninsula,North,1971,8.5,0.2
AKPen NW,Alaska Peninsula,North,1972,1.2,33
AKPen NW,Alaska Peninsula,North,1973,0.2,0.6
AKPen NW,Alaska Peninsula,North,1974,23,37.3
AKPen NW,Alaska Peninsula,North,1975,0.6,6.4
AKPen NW,Alaska Peninsula,North,1976,37.3,558.2
AKPen NW,Alaska Peninsula,North,1977,6.4,12.7
AKPen NW,Alaska Peninsula,North,1978,90.4,391.9
AKPen NW,Alaska Peninsula,North,1979,9.3,14.8
AKPen NW,Alaska Peninsula,North,1980,94,56.8
AKPen NW,Alaska Peninsula,North,1981,5.7,5.2
AKPen NW,Alaska Peninsula,North,1982,51.7,42.8
AKPen NW,Alaska Peninsula,North,1983,3.9,3.3
AKPen NW,Alaska Peninsula,North,1984,33,22.8
AKPen NW,Alaska Peninsula,North,1985,1.4,1.9
AKPen NW,Alaska Peninsula,North,1986,12.9,58.7
AKPen NW,Alaska Peninsula,North,1987,1.1,5.1
AKPen NW,Alaska Peninsula,North,1988,28.5,22.3
AKPen NW,Alaska Peninsula,North,1989,1.9,4.6
AKPen NW,Alaska Peninsula,North,1990,22.2,58.3
AKPen NW,Alaska Peninsula,North,1991,1.2,0.8
